state	party	last_name	first_name	full_name	screen_name	senate_rank	senate_class		state_population	state_population_voters	name	followers_count	friends_count	listed_count	twitter_join_date	twitter_age	favourites_count	statuses_count	profile_background_color	profile_image_url	profile_banner_url	profile_link_color	profile_sidebar_border_color	profile_sidebar_fill_color	profile_text_color
MS	Republican	Hyde-Smith	Cindy	Cindy Hyde-Smith	SenHydeSmith	junior	2		2946760	2217770	U.S. Senator Cindy Hyde-Smith	8723	593	401	2018-04-09	1	1140	983	F5F8FA	http://pbs.twimg.com/profile_images/991802081119006721/hZJj2JSr_normal.jpg	https://pbs.twimg.com/profile_banners/983348251972816896/1548194897	1DA1F2	C0DEED	DDEEF6	333333
MS	Republican	Wicker	Roger	Roger F. Wicker	SenatorWicker	senior	1		2946760	2217770	Senator Roger Wicker	87425	371	1928	2011-03-11	8	1357	5548	0	http://pbs.twimg.com/profile_images/1053286698438803456/c5VspcNT_normal.jpg	https://pbs.twimg.com/profile_banners/264219447/1402419137	0	FFFFFF	0	0
MT	Republican	Daines	Steve	Steve Daines	SteveDaines	junior	2		1013805	789500	Steve Daines	53313	653	1478	2007-12-30	11	2665	6102	88D0F7	http://pbs.twimg.com/profile_images/922463090935058432/XTchDLbm_normal.jpg	https://pbs.twimg.com/profile_banners/11651202/1495145842	0B60BA	FFFFFF	DDEEF6	333333
MT	Democrat	Tester	Jon	Jon Tester	SenatorTester	senior	1		1013805	789500	Senator Jon Tester	96044	1001	1408	2012-03-05	7	301	4821	0C0203	http://pbs.twimg.com/profile_images/1143232631942844421/5GFPbh6d_normal.png	https://pbs.twimg.com/profile_banners/515822213/1490051228	FA610F	D6BCAB	BE9658	544D3D
NC	Republican	Burr	Richard	Richard Burr	SenatorBurr	senior	3		9445115	7203795	Richard Burr	163539	899	3541	2009-02-18	10	50	3871	C0DEED	http://pbs.twimg.com/profile_images/588079658819653632/wwdO4Eqv_normal.jpg	https://pbs.twimg.com/profile_banners/21157904/1521749782	0084B4	FFFFFF	DDEEF6	333333
NC	Republican	Tillis	Thom	Thom Tillis	SenThomTillis	junior	2		9445115	7203795	Senator Thom Tillis	90433	4631	1736	2015-01-06	4	1452	4607	0	http://pbs.twimg.com/profile_images/1113102311566594048/TE6vxjHC_normal.png	https://pbs.twimg.com/profile_banners/2964174789/1571425026	89C9FA	0	0	0
ND	Republican	Cramer	Kevin	Kevin Cramer	SenKevinCramer	junior	1		721470	555690	Sen. Kevin Cramer	21534	496	856	2012-12-30	6	132	4255	C0DEED	http://pbs.twimg.com/profile_images/1090267977675460610/nQWIQ0ot_normal.jpg	https://pbs.twimg.com/profile_banners/1048784496/1546464991	0084B4	FFFFFF	DDEEF6	333333
ND	Republican	Hoeven	John	John Hoeven	SenJohnHoeven	senior	3		721470	555690	Senator John Hoeven	96024	706	1636	2011-09-30	8	699	3655	9E976D	http://pbs.twimg.com/profile_images/1171093029287014400/8NY2GOYy_normal.jpg	https://pbs.twimg.com/profile_banners/382791093/1553287177	A1392B	FFFFFF	DDEEF6	333333
NE	Republican	Fischer	Deb	Deb Fischer	SenatorFischer	senior	1		1799310	1341015	Senator Deb Fischer	84692	206	1751	2013-01-08	6	80	5914	B4C9FA	http://pbs.twimg.com/profile_images/816319022182649860/pev9bNlJ_normal.jpg	https://pbs.twimg.com/profile_banners/1071402577/1467819561	E81C4F	FFFFFF	EFEFEF	333333
NE	Republican	Sasse	Benjamin	Ben Sasse	SenSasse	junior	2		1799310	1341015	Senator Ben Sasse	146234	1	1871	2015-01-05	4	1	908	C0DEED	http://pbs.twimg.com/profile_images/1009479405968621570/-ms4YWy0_normal.jpg	https://pbs.twimg.com/profile_banners/2962923040/1445881489	1DA1F2	C0DEED	DDEEF6	333333
